,variance
CNTFR,0.013587956036798608
TMEM59L,0.013511364044182435
SCARA5,0.013471206536937636
SPON2,0.0134636569924433
RFTN2,0.013375126678650108
ZNF608,0.013338577088522752
PLPPR4,0.013331554353014695
SFRP4,0.013318000399903558
THY1,0.013274384329059929
LRRK2,0.01326587619871792
ATP10A,0.013257795405637518
FIBIN,0.013184217591087104
HIST1H2BD,0.013108421245184356
ID4,0.013103549565059455
CCDC69,0.013095868303368364
EYA4,0.013090655478538934
S1PR3,0.013075674250949243
DHRS3,0.013063396385023992
F3,0.013055726287986248
FOXO1,0.012994608471471733
GGT5,0.012985267941533785
ECHDC2,0.012929420213950698
EDNRB,0.012918013217036508
ADAMTSL1,0.012870074835595234
RAMP2,0.01286803508709717
CHCHD10,0.012864210906019552
MAP9,0.012862857806960322
C1orf21,0.012840092654540176
ABCA8,0.012796231996896395
TMTC2,0.012751604317207387
KLF15,0.012737631288940517
ANGPTL4,0.012736301820100956
ALAS1,0.012671423873562404
EYA2,0.012671413122625796
GHR,0.0126593855232175
COMP,0.012605107237487923
FASN,0.012588915813634085
LONRF1,0.012559669828111865
ITGA11,0.01250444543612446
AGTR1,0.012492932334326554
PRDX2,0.012454648721310625
PPARGC1A,0.012444295423789418
LRIG1,0.012422550278456538
LBH,0.012375982100065706
SETBP1,0.012342089265167604
ABCC3,0.01233904269935545
LOXL1-AS1,0.01224701213146043
FNDC4,0.012213774100540154
IRX3,0.012212492991643668
CXCL12,0.01220921047673379
LRRC8B,0.012202003424084137
COLGALT2,0.012193586399403645
CADPS,0.012189402927228336
PTGES,0.012164362136522156
TLL2,0.012128193526896506
C5orf34,0.012127945737388816
MSMO1,0.012082636386491652
TM4SF1,0.012027141384178604
VGLL3,0.01201351878197705
ANKRD9,0.011997468640937642
RIPOR3,0.011997411980481258
RUNX1T1,0.01198906702329942
GRK3,0.011941173320179348
OLFML2B,0.011933083576519656
CDO1,0.011918185758140205
PPP2R5A,0.0119036691537
ZSWIM5,0.0118790199418835
AHNAK2,0.011876531966677175
NBL1,0.01186683307654533
ITGA10,0.011865229975447502
DPYSL3,0.01185445392302815
KLHDC8B,0.011851738298986244
HLA-C,0.011812625990084202
PID1,0.011749589987306484
DGAT1,0.0117489278028821
TIMP4,0.01174220617430306
LITAF,0.011739338754062564
GPC3,0.011723197432373477
FBXO32,0.01167211539504292
